Modalite,Dim1_coord,Dim2_coord,Dim1_contrib,Dim2_contrib,Cos2_total
loc__Nailambur,-0.002160659708933371,-0.05315897686995601,2.334225188903754e-06,0.0014129384109302528,0.44249707476671796
loc__Vellanikkara,0.0021606597089333405,0.053158976869956034,2.3342251889035736e-06,0.0014129384109302508,0.4424970747667172
block__B1,-0.20383693777082407,0.6208403954544588,0.013849832399928902,0.12848093220934967,0.22792037477470084
block__B2,-0.3814171950647074,-0.1280375814813247,0.0484930255636763,0.005464540757195631,0.24887383694495402
block__B3,0.5852541328355315,-0.4928028139731342,0.11417413333368993,0.08095153781994643,0.5063988824309288
tree__T1,0.7945227487273593,0.7529479295169866,0.10521106637421318,0.09448843076065278,0.354964971347054
tree__T2,0.5219458925665368,0.1224146317520503,0.045404585794513105,0.002497557011165029,0.18994339174175337
tree__T3,0.9597878982580814,-0.7854718749018716,0.15353213494044424,0.10282767771031029,0.37207579953806835
tree__T4,-0.9239980873770158,0.43128803486598283,0.2845908218254605,0.062003123006187134,0.6175524101883452
tree__T6,-0.4282603647979463,-0.952466756099131,0.030567823342811693,0.15119882024566708,0.24577430117212834
family__F1,0.01580355422094206,-0.5831916514646052,4.162538766904726e-05,0.056685417056335514,0.5248838415114601
family__F2,0.22289066507149752,-0.1424749366918366,0.00828004142933568,0.0033831845975571626,0.31378418796521956
family__F3,-0.5093918818721164,-0.21834985270174712,0.043246681552869266,0.007946109695812439,0.4228991878709342
family__F4,-0.37896424240931553,0.08642239022554207,0.023935649504144386,0.0012448049220493218,0.8531839233688342
family__F5,-0.20478077566502695,-0.4174529810279045,0.006989194346994999,0.029044498561514025,0.40119266407281
family__F6,0.854442680654019,1.2750470316605516,0.12167871575387104,0.270957488824397,0.5097048382205335
